         334652780 function calls (317930857 primitive calls) in 499.271 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      169    0.005    0.000   72.549    0.429 /home/nidhal/workspace/coog/trytond/trytond/modules/commission_insurance/invoice.py:129(get_move_line)
      170    0.002    0.000   67.273    0.396 /home/nidhal/workspace/coog/trytond/trytond/modules/piga/move.py:58(copy)
      170    0.002    0.000   67.271    0.396 /home/nidhal/workspace/coog/trytond/trytond/modules/account_aggregate/account.py:90(copy)
      170    0.011    0.000   67.269    0.396 /home/nidhal/workspace/coog/trytond/trytond/modules/account/move.py:285(copy)
5310/5302    0.618    0.000   65.760    0.012 /home/nidhal/workspace/coog/trytond/trytond/model/fields/one2many.py:80(get)
  712/704    0.014    0.000   64.869    0.092 /home/nidhal/workspace/coog/trytond/trytond/model/descriptors.py:28(newfunc)
  709/705    0.043    0.000   63.587    0.090 /home/nidhal/workspace/coog/trytond/trytond/model/modelstorage.py:1446(save)
  3383006   25.719    0.000   62.186    0.000 /usr/lib/python2.7/collections.py:38(__init__)
  709/536    0.487    0.001   61.636    0.115 /home/nidhal/workspace/coog/trytond/trytond/model/modelsql.py:478(create)
      169    0.002    0.000   58.999    0.349 /home/nidhal/workspace/coog/trytond/trytond/modules/commission_waiting/invoice.py:54(get_move_line)
     4098    0.058    0.000   58.025    0.014 <string>:1(read__account_move)
      169    0.010    0.000   57.627    0.341 /home/nidhal/workspace/coog/trytond/trytond/modules/account_invoice/invoice.py:2008(get_move_line)
7331/6472    0.126    0.000   54.057    0.008 /home/nidhal/workspace/coog/trytond/trytond/model/fields/function.py:71(get)
7331/6472    0.081    0.000   53.391    0.008 /home/nidhal/workspace/coog/trytond/trytond/model/fields/function.py:81(call)
11850/11542    0.139    0.000   51.028    0.004 /home/nidhal/workspace/coog/trytond/trytond/model/fields/function.py:92(<genexpr>)
      509    0.035    0.000   50.223    0.099 /home/nidhal/workspace/coog/trytond/trytond/modules/account/tax.py:1092(_get_taxes)
    39762   48.671    0.001   49.655    0.001 {function execute at 0x7f7377110b90}
      681    0.022    0.000   48.925    0.072 /home/nidhal/workspace/coog/trytond/trytond/modules/account/move.py:242(write)
   279856    2.149    0.000   47.846    0.000 /home/nidhal/.virtualenvs/coog/local/lib/python2.7/site-packages/redis/client.py:661(execute_command)
  1683124    4.342    0.000   43.182    0.000 /home/nidhal/workspace/coog/trytond/trytond/cache.py:215(__init__)
    39762    0.565    0.000   43.078    0.001 /home/nidhal/workspace/coog/trytond/trytond/perf_analyzer.py:283(analyze_after)
      340    0.002    0.000   41.325    0.122 /home/nidhal/workspace/coog/trytond/trytond/modules/account_invoice/invoice.py:839(_compute_taxes)
