         338383121 function calls (321309617 primitive calls) in 477.753 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      169    0.005    0.000   68.082    0.403 /home/nidhal/workspace/coog/trytond/trytond/modules/commission_insurance/invoice.py:129(get_move_line)
  712/704    0.016    0.000   64.934    0.092 /home/nidhal/workspace/coog/trytond/trytond/model/descriptors.py:28(newfunc)
  709/705    0.038    0.000   63.699    0.090 /home/nidhal/workspace/coog/trytond/trytond/model/modelstorage.py:1446(save)
  3412437   25.961    0.000   60.760    0.000 /usr/lib/python2.7/collections.py:38(__init__)
5310/5302    0.609    0.000   59.329    0.011 /home/nidhal/workspace/coog/trytond/trytond/model/fields/one2many.py:80(get)
      170    0.001    0.000   57.949    0.341 /home/nidhal/workspace/coog/trytond/trytond/modules/piga/move.py:58(copy)
      170    0.001    0.000   57.947    0.341 /home/nidhal/workspace/coog/trytond/trytond/modules/account_aggregate/account.py:90(copy)
      170    0.008    0.000   57.946    0.341 /home/nidhal/workspace/coog/trytond/trytond/modules/account/move.py:285(copy)
  709/536    0.470    0.001   57.069    0.106 /home/nidhal/workspace/coog/trytond/trytond/model/modelsql.py:478(create)
      169    0.002    0.000   54.632    0.323 /home/nidhal/workspace/coog/trytond/trytond/modules/commission_waiting/invoice.py:54(get_move_line)
     4100    0.058    0.000   53.662    0.013 <string>:1(read__account_move)
      169    0.011    0.000   53.267    0.315 /home/nidhal/workspace/coog/trytond/trytond/modules/account_invoice/invoice.py:2008(get_move_line)
7672/6813    0.124    0.000   51.214    0.008 /home/nidhal/workspace/coog/trytond/trytond/model/fields/function.py:71(get)
7672/6813    0.081    0.000   50.546    0.007 /home/nidhal/workspace/coog/trytond/trytond/model/fields/function.py:81(call)
12532/12224    0.143    0.000   48.260    0.004 /home/nidhal/workspace/coog/trytond/trytond/model/fields/function.py:92(<genexpr>)
      681    0.022    0.000   46.791    0.069 /home/nidhal/workspace/coog/trytond/trytond/modules/account/move.py:242(write)
   283090    2.035    0.000   46.577    0.000 /home/nidhal/.virtualenvs/coog/local/lib/python2.7/site-packages/redis/client.py:661(execute_command)
      509    0.030    0.000   46.438    0.091 /home/nidhal/workspace/coog/trytond/trytond/modules/account/tax.py:1092(_get_taxes)
  1697668    4.099    0.000   42.454    0.000 /home/nidhal/workspace/coog/trytond/trytond/cache.py:215(__init__)
    40105    0.513    0.000   41.713    0.001 /home/nidhal/workspace/coog/trytond/trytond/perf_analyzer.py:283(analyze_after)
    40105   40.103    0.001   41.165    0.001 {function execute at 0x7fe2700f2aa0}
      340    0.002    0.000   39.793    0.117 /home/nidhal/workspace/coog/trytond/trytond/modules/account_invoice/invoice.py:839(_compute_taxes)
      340    0.006    0.000   39.791    0.117 /home/nidhal/workspace/coog/trytond/trytond/modules/account_invoice_cog/invoice.py:244(_get_taxes)
    40105    0.885    0.000   39.424    0.001 /home/nidhal/workspace/coog/trytond/trytond/perf_analyzer.py:230(log_db)
      170    0.002    0.000   38.938    0.229 /home/nidhal/workspace/coog/trytond/trytond/modules/account_invoice_cog/invoice.py:136(update_taxes)
      170    0.003    0.000   38.936    0.229 /home/nidhal/workspace/coog/trytond/trytond/modules/account_invoice/invoice.py:845(update_taxes)
2180703/2180168   15.322    0.000   37.201    0.000 /home/nidhal/workspace/coog/trytond/trytond/model/modelstorage.py:1171(__init__)
1553/1379    0.021    0.000   34.078    0.025 /home/nidhal/workspace/coog/trytond/trytond/model/fields/one2many.py:107(set)
45563/45095    0.091    0.000   33.679    0.001 /home/nidhal/workspace/coog/trytond/trytond/model/fields/function.py:86(<genexpr>)
      341    0.035    0.000   30.956    0.091 /home/nidhal/workspace/coog/trytond/trytond/model/modelstorage.py:249(copy)
    81543    0.432    0.000   30.044    0.000 /home/nidhal/workspace/coog/trytond/trytond/cache.py:143(get)
     1022    0.016    0.000   29.122    0.028 <string>:1(_validate__account_move)
  3412437   11.221    0.000   28.735    0.000 /home/nidhal/.virtualenvs/coog/lib/python2.7/_abcoll.py:526(update)
32610/32401    0.238    0.000   27.241    0.001 /home/nidhal/workspace/coog/trytond/trytond/model/fields/field.py:81(wrapper)
    23587    0.183    0.000   27.107    0.001 /home/nidhal/workspace/coog/trytond/trytond/model/modelstorage.py:915(validate_domain)
      686    0.009    0.000   26.337    0.038 <string>:1(read__account_invoice_line)
      341    0.007    0.000   26.191    0.077 <string>:1(create__account_move)
      341    0.018    0.000   26.184    0.077 /home/nidhal/workspace/coog/trytond/trytond/modules/account/move.py:259(create)
     2076    0.027    0.000   26.136    0.013 <string>:1(read__account_invoice)
  3446634    5.068    0.000   25.830    0.000 /home/nidhal/workspace/coog/trytond/trytond/config.py:87(getint)
 34466542   12.522    0.000   23.972    0.000 {isinstance}
     2829    0.085    0.000   23.649    0.008 /home/nidhal/workspace/coog/trytond/trytond/model/modelstorage.py:944(validate_relation_domain)
      344    0.012    0.000   22.660    0.066 /home/nidhal/workspace/coog/trytond/trytond/modules/contract_insurance_invoice/move.py:121(write)
    28731    0.063    0.000   22.594    0.001 /home/nidhal/workspace/coog/trytond/trytond/modules/account_invoice/invoice.py:1734(get_amount)
      344    0.028    0.000   22.389    0.065 /home/nidhal/workspace/coog/trytond/trytond/modules/account/move.py:1401(write)
   283090    1.012    0.000   21.065    0.000 /home/nidhal/.virtualenvs/coog/local/lib/python2.7/site-packages/redis/client.py:678(parse_response)
   283090    0.786    0.000   20.566    0.000 /home/nidhal/.virtualenvs/coog/local/lib/python2.7/site-packages/redis/connection.py:608(send_command)
     3248    0.125    0.000   20.423    0.006 <string>:1(search__account_move_line)
  3446634    2.353    0.000   20.296    0.000 /usr/lib/python2.7/ConfigParser.py:358(getint)
      340    0.006    0.000   20.091    0.059 /home/nidhal/workspace/coog/trytond/trytond/modules/contract_insurance_invoice_dunning/invoice.py:16(get_dunning_procedure)
   283090    0.571    0.000   19.713    0.000 /home/nidhal/.virtualenvs/coog/local/lib/python2.7/site-packages/redis/connection.py:621(read_response)
   283090    2.163    0.000   19.068    0.000 /home/nidhal/.virtualenvs/coog/local/lib/python2.7/site-packages/redis/connection.py:375(read_response)
    21/20    0.001    0.000   18.847    0.942 /home/nidhal/workspace/coog/trytond/trytond/modules/coog_core/model.py:257(create)
4563974/4410558    3.304    0.000   18.395    0.000 {hasattr}
  1700096    3.263    0.000   17.945    0.000 /home/nidhal/workspace/coog/trytond/trytond/model/modelstorage.py:34(cache_size)
  3446634    4.411    0.000   17.943    0.000 /usr/lib/python2.7/ConfigParser.py:355(_get)
    80210    0.191    0.000   16.889    0.000 /home/nidhal/.virtualenvs/coog/local/lib/python2.7/site-packages/redis/client.py:1710(zincrby)
      341    0.005    0.000   16.544    0.049 <string>:1(create__account_move_line)
      341    0.025    0.000   16.540    0.049 /home/nidhal/workspace/coog/trytond/trytond/modules/account/move.py:1421(create)
   106845    0.161    0.000   16.369    0.000 /home/nidhal/.virtualenvs/coog/local/lib/python2.7/site-packages/sql/__init__.py:192(__iter__)
     1707    0.196    0.000   16.281    0.010 /home/nidhal/workspace/coog/trytond/trytond/modules/account/move.py:307(validate_move)
      170    0.003    0.000   16.108    0.095 /home/nidhal/workspace/coog/trytond/trytond/modules/contract_insurance_invoice_dunning/invoice.py:21(_get_move_line)
      338    0.003    0.000   16.084    0.048 /home/nidhal/workspace/coog/trytond/trytond/modules/account_invoice_cog/invoice.py:254(_round_taxes)
    81543    0.342    0.000   15.801    0.000 /home/nidhal/workspace/coog/trytond/trytond/cache_redis.py:50(get)
      360    0.012    0.000   15.693    0.044 /home/nidhal/workspace/coog/trytond/trytond/modules/account_invoice/invoice.py:1147(write)
   283523    0.578    0.000   15.524    0.000 /home/nidhal/.virtualenvs/coog/local/lib/python2.7/site-packages/redis/_compat.py:72(recv_into)
      685    0.009    0.000   15.469    0.023 <string>:1(_validate__account_move_line)
